Name,Studio,UPC,Price,Category,ESRB,Platform,Released_on,Dimensions,Weight,Cover_image
 Star Wars Knights of the Old Republic 2: The Sith Lords,LucasArts,0023272326180,19.99,PC,Teen,Windows XP,2/8/2005,5.4000 x 0.7000,0.6000 lbs.,https://secure.coverart.bookstores.com/large/502/3-7502.jpg
 Star Wars Knights of old Republic,LucasArts Entertainment,0023272997212,39.99,PC,Everyone 10+,Windows XP,10/5/2037,Unknown,0.5300 lbs.,https://secure.coverart.bookstores.com/large/971/3-10971.jpg
 Fallout Trilogy - 3 Pack Compilation,Interplay Entertainment Corp,0040421012213,19.99,PC,Mature,Windows XP,5/3/2009,Unknown,0.0500 lbs.,https://secure.coverart.bookstores.com/large/693/3-7693.jpg
 Pirates of the Caribbean: At World's End,Buena Vista Games,0044702022724,19.99,PC,Teen,Windows XP,5/22/2007,5.4000 x 1.1000,0.1000 lbs.,https://secure.coverart.bookstores.com/large/095/3-13095.jpg
 Mario Kart 64,Nintendo,0045496870027,1.0,PC,Everyone,Windows XP,4/10/2038,Unknown,0.4300 lbs.,https://secure.coverart.bookstores.com/large/978/3-9978.jpg
 Dr. Mario 64,Nintendo,0045496870935,1.0,PC,Everyone,Windows XP,4/10/2038,Unknown,0.4100 lbs.,https://secure.coverart.bookstores.com/large/133/3-10133.jpg
 Digimon World 2,Playstation 1,0045557088842,1.0,PC,Everyone,Windows XP,4/10/2038,Unknown,0.4200 lbs.,https://secure.coverart.bookstores.com/large/134/3-3134.jpg
 Mobile Suit Gundam: Federation vs. Zeon,Bandai,0045557180072,1.0,PC,Teen,Windows,7/31/2039,Unknown,0.4400 lbs.,https://secure.coverart.bookstores.com/large/706/3-3706.jpg
 Call of Duty: World at War,Activision,0047875332478,29.99,PC,Mature,Windows XP,11/11/2008,Unknown,1 lbs.,https://secure.coverart.bookstores.com/large/651/3-7651.jpg
 Call of Duty 4: Modern Warfare Game of the Year Edition,Activision,0047875332492,19.99,PC,Mature,Windows Vista,8/19/2008,Unknown,0.5100 lbs.,https://secure.coverart.bookstores.com/large/829/3-7829.jpg
 Call of Duty: Modern Warfare 2,Activision,0047875333376,19.99,PC,Mature,Windows XP,11/10/2009,5.4000 x 0.6000,0.4500 lbs.,https://secure.coverart.bookstores.com/large/674/3-10674.jpg
 Call of Duty: Black Ops,Activision Publishing,0047875358010,59.99,PC,Mature,Windows XP,11/9/2010,Unknown,0.3800 lbs.,https://secure.coverart.bookstores.com/large/652/3-10652.jpg
 Star Trek - Legacy,Bethesda,0093155120204,19.99,PC,Everyone 10+,Windows,12/5/2006,5.5000 x 1.2000,0.5100 lbs.,https://secure.coverart.bookstores.com/large/771/3-7771.jpg
 Fallout 3: Game of The Year Edition (PC),Bethesda,0093155129696,19.99,PC,Mature,Windows XP,10/13/2009,Unknown,0.5800 lbs.,https://secure.coverart.bookstores.com/large/704/3-7704.jpg
 IGT Slots: Texas Tea,Masque Publishing,0098252103945,19.99,PC,Teen,Windows XP,10/4/2009,5.4000 x 0.4000,0.6500 lbs.,https://secure.coverart.bookstores.com/large/308/3-57308.jpg
 IGT Slots: Lucky Larry's Lobstermania,Masque Publishing,0098252104478,19.99,PC,Everyone,Windows,8/22/2011,5.4000 x 0.7000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/451/3-58451.jpg
 Trainz Railroad Simulator 2006 (PC DVD -ROM),2K Games,0187124000281,19.99,PC,Everyone,Windows XP,3/6/2006,5.3000 x 2,0.8000 lbs.,https://secure.coverart.bookstores.com/large/534/3-65534.jpg
 Final Fantasy XI The Ultimate Collection,Square Enix,0662248909219,14.99,PC,Teen,Windows XP,11/10/2009,Unknown,0.4800 lbs.,https://secure.coverart.bookstores.com/large/733/3-10733.jpg
 Final Fantasy XIV,Square Enix,0662248910031,29.99,PC,Teen,Windows XP,9/30/2010,5.3000 x 0.5000,0.4800 lbs.,https://secure.coverart.bookstores.com/large/661/3-10661.jpg
 Reel Deal Slots Adventure III World Tour,Phantom EFX,0694721172520,19.99,PC,Teen,Windows XP,1/22/2011,5.4000 x 0.7000,0.1300 lbs.,https://secure.coverart.bookstores.com/large/058/3-57058.jpg
 Phanton EFX Reel Deal Slots: Gods of Olympus,Phanton EFX,0694721190524,19.99,PC,Everyone,Windows XP,7/26/2011,5.4000 x 0.3000,0.0500 lbs.,https://secure.coverart.bookstores.com/large/524/3-58524.jpg
 Clue Classic [Old Version],Encore Software,0705381161103,19.99,PC,Everyone 10+,Windows XP,6/13/2008,4.9000 x 0.4000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/931/3-10931.jpg
 The Elder Scrolls IV: Oblivion Game of the Year Edition - PC,Take 2,0710425312953,19.99,PC,Mature,Windows XP,9/10/2007,5.3000 x 1.1000,0.9500 lbs.,https://secure.coverart.bookstores.com/large/820/3-7820.jpg
 Sid Meier's Civilization V,2K Games,0710425318177,29.99,PC,Everyone 10+,Windows XP,9/21/2010,Unknown,0.5000 lbs.,https://secure.coverart.bookstores.com/large/649/3-10649.jpg
 Rockstar Games Red Dead Redemption: Undead Nightmare (Xbox 360),Rockstar Games,0710425399329,19.99,PC,Mature,Windows XP,11/23/2010,5.3000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/768/3-56768.jpg
